Kommun,balanced_accuracy,n_test,entropy,majority_prop,hhi,n_obs,p_NN,p_NV,p_VN,p_VV
1080,0.4381070294990659,14323,0.6516210696953036,0.823997341475066,0.6900560902915585,48147,0.07159324568508942,0.03626394167860926,0.06814547116123539,0.823997341475066
1081,0.414237781170702,6204,0.6913501151703486,0.8074654288753506,0.6655473879814466,20682,0.08388937240112175,0.03689198336717919,0.07175321535634852,0.8074654288753506
1082,0.4267904439972054,7046,0.6996047377613477,0.8046645991758359,0.6612825284104986,23539,0.0846255151025957,0.03942393474659076,0.0712859509749777,0.8046645991758359
1083,0.423210888208078,3900,0.6800808479998577,0.8124708443476909,0.67281423914607,12862,0.07829264500077748,0.03716373814336806,0.07207277250816359,0.8124708443476909
1214,0.4148062440407418,2927,0.7287275467267654,0.7917135549872123,0.6428335450448388,9775,0.09616368286445012,0.04040920716112532,0.07171355498721228,0.7917135549872123
1230,0.4042369119400674,5014,0.5856710165177244,0.8486613709914681,0.7283859598738047,16995,0.061841718152397765,0.03189173286260665,0.05760517799352751,0.8486613709914681
1231,0.3960303299443147,3708,0.9483439620668961,0.6823605288616575,0.5044265531679298,12404,0.15599806514027734,0.05425669138987423,0.1073847146081909,0.6823605288616575
1233,0.4033514949636526,7699,0.4737613434867283,0.8862884160756501,0.7902165011447744,25380,0.03754925137903861,0.023955870764381403,0.052206461780929865,0.8862884160756501
1256,0.4214005674120806,3015,0.7474486352348583,0.785089463220676,0.6330219675979907,10060,0.0963220675944334,0.046123260437375746,0.07246520874751491,0.785089463220676
1257,0.380480515605285,2066,0.7973871032867654,0.7629025453522711,0.602455990420976,7111,0.10940795949936717,0.051328927014484604,0.0763605681338771,0.7629025453522711
1260,0.4089547052039607,3099,0.8848243651700669,0.7177296886864085,0.5456688540544218,10536,0.14407744874715261,0.058466211085801065,0.07972665148063782,0.7177296886864085
1261,0.4171734146140118,6429,0.5748520922460968,0.8527142527142527,0.7348031201946656,21645,0.059413259413259416,0.03187803187803188,0.055994455994455995,0.8527142527142527
1262,0.4204421266783019,5064,0.44526119379368345,0.8950073855243722,0.805131492879569,16925,0.03320531757754801,0.02150664697193501,0.050280649926144755,0.8950073855243722
1263,0.4272456826737566,4559,0.582637698512869,0.8501073537305421,0.7305972664127172,14904,0.05984970477724101,0.03321256038647343,0.05683038110574343,0.8501073537305421
1264,0.4181691130880185,3345,0.6870323142356504,0.8105197020016156,0.669692147188778,11141,0.07880800646261557,0.04092989857283906,0.06974239296292972,0.8105197020016156
1265,0.3939271121130134,4166,0.7393433711991955,0.7892849458509646,0.6387590464797946,13943,0.09338019077673385,0.049056874417270316,0.0682779889550312,0.7892849458509646
1266,0.3939207123261973,3329,0.7193884084121341,0.796629711751663,0.649578438650744,11275,0.0901108647450111,0.04203991130820399,0.07121951219512195,0.796629711751663
1267,0.4064936563661738,3636,0.6820349338106739,0.8112334986967124,0.6711179179461326,11893,0.08273774489195325,0.03640797107542252,0.06962078533591189,0.8112334986967124
