Kommun,n_test,balanced_accuracy,macro_f1,weighted_f1,accuracy,f1_NN,precision_NN,recall_NN,f1_NV,precision_NV,recall_NV,f1_VN,precision_VN,recall_VN,f1_VV,precision_VV,recall_VV,n_NN,n_NV,n_VN,n_VV,kommun,n_obs,entropy,majority_prop,hhi,p_NN,p_NV,p_VN,p_VV,residual_entropy_model
0187,2455,0.375038965507168,0.3174993235324652,0.6905023018870494,0.6077393075356415,0.2597402597402597,0.2479338842975206,0.2727272727272727,0.0607476635514018,0.0350404312668463,0.2280701754385964,0.1798107255520504,0.1217948717948717,0.3433734939759036,0.7696986452861487,0.931103678929766,0.6559849198868991,110,57,166,2122,0187,8373,0.5563647462699884,0.8578765078227636,0.7434712809306454,0.04753373940045384,0.027469246387196944,0.06712050638958557,0.8578765078227636,-0.04039313104693726
0188,13858,0.4199230592908768,0.3373916614584216,0.6121769214772859,0.540914994948766,0.3574533367425211,0.2705108359133127,0.5267520723436323,0.1342364532019704,0.0814040328603435,0.3824561403508772,0.1466049382716049,0.1207115628970775,0.1866404715127701,0.7112719176175898,0.9098547422386783,0.5838435529562277,1327,570,1018,10943,0188,46028,0.7415392818667272,0.7872164769270878,0.6361047813691137,0.09213956721995308,0.04260450160771704,0.07803945424524203,0.7872164769270878,0.01706958901973743
0191,9748,0.4087270313106677,0.3414443235151928,0.5318404367167726,0.4777390233894132,0.4497330960854092,0.3299608355091384,0.7060055865921788,0.1314519123653917,0.0847701149425287,0.2925619834710743,0.1444385872430152,0.1460554371002132,0.1428571428571428,0.6401536983669549,0.910880262438491,0.4934834123222749,1432,605,959,6752,0191,32364,0.9377086261852038,0.6915090841675936,0.5137788708776928,0.14849833147942157,0.060715609936967,0.0992769744160178,0.6915090841675936,0.01919904805859779
0192,6061,0.4108292970255012,0.3508061630523672,0.5960396316587313,0.5205411648242865,0.4175126903553299,0.3647450110864745,0.4881305637982195,0.1179071481208548,0.074074074074074,0.2888086642599278,0.1725947521865889,0.1204231082180634,0.3045267489711934,0.6952100615466952,0.911578947368421,0.5618512110726643,674,277,486,4624,0192,20389,0.8076673297820175,0.7570258472705871,0.5948758152775926,0.1111874049732699,0.04664279758693413,0.08514395016920889,0.7570258472705871,0.012467805086414596
0305,4497,0.3987237305437132,0.3071640957664128,0.5854575470443554,0.4954414053813653,0.3010752688172043,0.2222222222222222,0.4666666666666667,0.1096256684491978,0.0624523990860624,0.448087431693989,0.1407624633431085,0.1337047353760445,0.1486068111455108,0.6771929824561403,0.9328177863702272,0.5315340126686863,360,183,323,3631,0305,15158,0.708733359756698,0.8017548489246602,0.6567730056528548,0.08048555218366539,0.042287900778466815,0.07547169811320754,0.8017548489246602,-0.006358196425105156
0319,2063,0.371079284693362,0.2970836052588195,0.5478813938556145,0.4730974309258361,0.2198581560283688,0.3604651162790697,0.1581632653061224,0.0894568690095846,0.0616740088105726,0.1627906976744186,0.23069403714565,0.1399762752075919,0.6555555555555556,0.6483253588516746,0.896361631753032,0.5078076202373517,196,86,180,1601,0319,6647,0.7615497254042336,0.7776440499473447,0.6228958774254368,0.09177072363472243,0.04061982849405747,0.08996539792387544,0.7776440499473447,-0.030414906397173314
0330,3863,0.4346343157140197,0.3498296286476245,0.6965195180793455,0.6197256018638364,0.3356401384083045,0.2803468208092485,0.418103448275862,0.1264488935721812,0.0736196319018405,0.4477611940298507,0.1528455284552845,0.1230366492146596,0.2017167381974249,0.7843839541547278,0.9439655172413792,0.6709558823529411,232,134,233,3264,0330,12459,0.6094388261070752,0.8409182117344891,0.7159267355590756,0.060679027209246325,0.037803997110522514,0.06059876394574203,0.8409182117344891,0.022807461173518673
0331,3071,0.3875118626387198,0.3297443092162261,0.5934666852479472,0.5180722891566265,0.3314917127071823,0.273972602739726,0.4195804195804196,0.1198156682027649,0.0725244072524407,0.3443708609271523,0.1656626506024096,0.1361386138613861,0.2115384615384615,0.7020072053525476,0.902116402116402,0.5745577085088458,286,151,260,2374,0331,10194,0.7566717306516136,0.7822248381400824,0.6286107393744023,0.09181871689228958,0.04934275063762998,0.07661369432999804,0.7822248381400824,-0.014313683261513
0360,4650,0.4161985695262233,0.3241132519901431,0.5705142624181764,0.4834408602150538,0.3313131313131313,0.2701812191103789,0.4281984334203655,0.1275362318840579,0.0745131244707874,0.4422110552763819,0.1780366056572379,0.1300121506682867,0.2823218997361477,0.6595670391061452,0.9264345267287888,0.5120628896719979,383,199,379,3689,0360,15252,0.7288900317084013,0.793273013375295,0.6445210626695743,0.08293994230264884,0.04320744820351429,0.08057959611854183,0.793273013375295,0.012485854813138464
0380,48467,0.4287987897297137,0.3654219838056893,0.692363013458511,0.6341840840159284,0.364799083707168,0.278693306110544,0.5279005524861878,0.1170395869191049,0.0780091775503,0.2342342342342342,0.1843364904776454,0.1439936356404136,0.2560837577815506,0.7955127741188391,0.926497858997269,0.6969766144168823,3620,1887,3534,39426,0380,161578,0.6846850332196341,0.8109024743467551,0.6704047322770321,0.07664409758754286,0.038272537102823405,0.07418089096287861,0.8109024743467551,0.02208329629201966
